,MEMBER_NO,clusters
1007,20800,2.0
1008,49145,2.0
1009,60299,2.0
1010,21206,4.0
1011,46031,2.0
1012,58208,2.0
1013,39669,2.0
1014,22317,2.0
1015,53868,2.0
1016,56668,2.0
1017,49880,2.0
1018,48877,2.0
1019,8262,2.0
1020,3435,2.0
1021,31481,2.0
1022,59292,2.0
1023,59263,2.0
1024,48232,2.0
1025,48981,2.0
1026,54771,2.0
1027,8876,2.0
1028,34723,2.0
1029,580,2.0
1030,50550,2.0
1031,58162,5.0
1032,17679,2.0
1033,27781,2.0
1034,21116,5.0
1035,21362,2.0
1036,13991,2.0
1037,3518,2.0
1038,61726,2.0
1039,59386,2.0
1040,47698,5.0
1041,3406,2.0
1042,28602,2.0
1043,20651,2.0
1044,40682,2.0
1045,48252,2.0
1046,29499,2.0
1047,7496,2.0
1048,11209,2.0
1049,12408,2.0
1050,46565,2.0
1051,62884,2.0
1052,17394,2.0
1053,20122,2.0
1054,53718,2.0
1055,21976,2.0
1056,33392,2.0
1057,28209,2.0
1058,38332,5.0
1059,31866,2.0
1060,703,5.0
1061,6004,5.0
1062,45659,2.0
1063,29159,2.0
1064,44782,5.0
1065,5228,2.0
1066,54893,2.0
1067,17727,2.0
1068,54705,2.0
1069,57649,2.0
1070,56375,2.0
1071,9972,2.0
1072,21336,5.0
1073,26946,2.0
1074,56734,2.0
1075,28516,5.0
1076,15317,2.0
1077,62016,2.0
1078,31106,2.0
1079,56635,2.0
1080,44424,5.0
1081,5845,2.0
1082,4256,2.0
1083,47210,2.0
1084,29969,2.0
1085,24284,2.0
1086,29509,2.0
1087,53680,2.0
1088,12206,2.0
1089,9963,2.0
1090,9846,5.0
1091,57698,2.0
1092,24517,2.0
1093,44748,2.0
1094,37140,2.0
1095,16533,2.0
1096,62918,2.0
1097,35486,2.0
1098,60183,2.0
1099,21743,2.0
1100,38338,2.0
1101,71,2.0
1102,54690,2.0
1103,9633,2.0
1104,21955,2.0
1105,19540,2.0
1106,60584,2.0
1107,27411,2.0
1108,37051,2.0
1109,40327,2.0
1110,12217,2.0
1111,62967,2.0
1112,23453,2.0
1113,40146,2.0
1114,40535,2.0
1115,55224,2.0
1116,56340,2.0
1117,9967,2.0
1118,3757,2.0
1119,10528,2.0
1120,50802,2.0
1121,18848,2.0
1122,26778,2.0
1123,13682,5.0
1124,59489,2.0
1125,44049,2.0
1126,40632,2.0
1127,62623,0.0
1128,30553,2.0
1129,20286,2.0
1130,13182,2.0
1131,26098,2.0
1132,36795,2.0
1133,47109,2.0
1134,22937,2.0
1135,19207,2.0
1136,27609,2.0
1137,42203,2.0
1138,53697,5.0
1139,23336,2.0
1140,49054,2.0
1141,38421,2.0
1142,45743,2.0
1143,29125,2.0
1144,56764,2.0
1145,4821,5.0
1146,11060,5.0
1147,49963,2.0
1148,62174,2.0
1149,44370,2.0
1150,11538,2.0
1151,35887,2.0
1152,19107,2.0
1153,55424,2.0
1154,29649,2.0
1155,7063,2.0
1156,28852,2.0
1157,13041,2.0
1158,43617,2.0
1159,26642,2.0
1160,13254,2.0
1161,62936,2.0
1162,47165,2.0
1163,49168,5.0
1164,37208,2.0
1165,14359,2.0
1166,52856,2.0
1167,43158,2.0
1168,62246,2.0
1169,18926,2.0
1170,14966,2.0
1171,32229,2.0
1172,4546,2.0
1173,15109,2.0
1174,26397,2.0
1175,3882,2.0
1176,56116,2.0
1177,60434,2.0
1178,40158,2.0
1179,16961,2.0
1180,4363,2.0
1181,27026,5.0
1182,7585,2.0
1183,7448,2.0
1184,17863,5.0
1185,9518,2.0
1186,20411,2.0
1187,40106,2.0
1188,2395,5.0
1189,20722,2.0
1190,31967,2.0
1191,27738,2.0
1192,15192,2.0
1193,21682,2.0
1194,13553,2.0
1195,1191,2.0
1196,49196,2.0
1197,6737,2.0
1198,41729,2.0
1199,5284,2.0
1200,24786,2.0
1201,59048,2.0
1202,36863,2.0
1203,20187,5.0
1204,47133,2.0
1205,8355,2.0
1206,1125,5.0
1207,9562,2.0
1208,37274,2.0
1209,62435,2.0
1210,20299,2.0
1211,35910,2.0
1212,59586,2.0
1213,2627,2.0
1214,4188,2.0
1215,28439,2.0
1216,31964,2.0
1217,57805,2.0
1218,41341,2.0
1219,20839,2.0
1220,48517,2.0
1221,11033,2.0
1222,10270,2.0
1223,54672,5.0
1224,20440,2.0
1225,56517,5.0
1226,48310,2.0
1227,27046,2.0
1228,38024,2.0
1229,19047,2.0
1230,62890,2.0
1231,30747,2.0
1232,8431,2.0
1233,12298,2.0
